gameId,winner,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
3326086514,1,2,1,1,1,1,2
3229566029,1,1,1,1,0,1,1
3327363504,1,2,1,1,1,2,0
3326856598,1,1,1,1,1,1,0
3330080762,1,2,1,1,1,1,0
3287435705,1,2,2,1,1,2,0
3314215542,1,1,2,1,1,1,1
3329224025,1,1,1,0,0,2,1
3318040883,2,2,2,2,0,2,2
3327786881,2,2,2,2,2,2,0
3325996400,2,2,2,2,2,2,2
3284613292,1,1,2,1,0,2,1
3321570535,1,1,1,0,1,2,1
3323144943,1,2,2,1,0,1,0
3329332855,2,2,2,1,1,2,0
3322311228,1,2,1,1,0,1,0
3316242660,2,2,2,2,2,2,0
3330057565,1,2,1,1,1,1,1
3318940474,2,1,2,2,0,2,0
3320637674,2,1,2,2,2,1,1
3295071448,2,1,1,1,2,1,2
3321629795,2,1,2,2,2,1,0
3289287394,2,1,2,2,0,2,0
3315917080,1,1,1,1,1,1,1
3319260786,2,2,2,2,0,1,0
3287686351,2,2,2,2,0,2,1
3327949154,2,2,2,1,1,2,2
3329435919,2,2,2,0,0,2,0
3328637035,2,1,2,2,2,2,2
3261234207,1,1,1,1,1,1,1
3327393480,2,2,1,2,2,1,1
3291817645,1,1,1,1,2,1,0
3323377026,1,1,1,1,2,1,0
3317736423,1,1,2,2,2,2,0
3330224197,2,1,1,2,2,1,1
3308980402,2,2,2,2,0,2,0
3246968903,2,2,2,2,0,2,0
3322361630,1,1,1,1,0,1,0
3293632530,1,2,1,1,0,1,0
3308987932,1,2,1,1,0,1,1
3324519930,2,2,1,2,2,1,2
3326242650,2,2,2,2,0,2,2
3329416851,1,2,1,1,1,1,1
3324363232,2,2,2,2,0,2,0
3322709332,2,1,2,1,1,1,1
3255360088,1,1,2,1,0,2,0
3327752527,1,1,2,1,2,2,2
3311009322,2,2,2,2,0,2,1
3321629027,2,2,1,2,2,2,2
3299362032,2,2,2,1,1,1,2
3325726219,2,1,1,2,1,1,1
3321237376,1,1,1,1,0,1,0
3321305647,2,2,2,2,2,2,2
3329852632,1,1,1,1,0,1,1
3329066143,2,1,2,2,1,1,2
3330150647,1,1,1,1,0,2,0
3330336673,2,2,2,2,2,2,2
3265461788,1,1,1,1,1,2,1
3323194067,2,2,2,2,0,2,0
3327643001,1,1,1,1,1,1,0
3325673769,1,1,2,1,1,1,1
3256026885,1,1,1,1,0,1,1
3311427599,2,2,2,2,2,2,2
3282627547,2,2,2,2,0,1,1
3258796399,2,0,0,0,0,0,0
3328984872,1,1,1,0,0,1,1
3325843025,1,1,1,1,0,2,0
3325613900,1,2,1,1,1,2,2
3323302726,2,1,2,2,2,2,0
3280198998,1,2,1,1,1,1,0
3325567495,2,1,2,2,2,2,2
3310827613,2,1,2,2,2,2,2
3287517913,1,2,1,1,1,2,1
3329315051,1,1,1,1,1,1,1
3263401061,2,1,2,2,2,2,0
3327484989,1,2,1,0,0,2,0
3330473044,1,2,2,2,1,1,0
3306566368,1,1,1,0,0,0,0
3234883677,2,1,1,2,1,1,1
3272819198,1,2,1,1,1,1,1
3326112788,1,2,2,1,1,1,2
3329437618,1,2,1,1,1,1,2
3330152268,1,1,0,0,0,0,0
3277742106,2,2,2,2,2,2,2
3319437727,1,1,1,0,0,2,0
3281365058,2,2,2,2,0,1,0
3322626012,1,2,1,1,1,2,0
3325976587,1,1,1,0,0,1,0
3324255930,2,1,1,2,1,1,0
3325663188,1,2,1,1,1,1,0
3327487116,2,1,2,2,2,2,2
3331653671,1,1,1,1,0,1,1
3320571127,1,1,1,1,1,2,0
3326233952,2,2,2,2,2,1,0
3320571491,2,2,1,2,2,1,1
3310530097,1,2,2,1,1,1,2
3330689896,1,1,1,1,1,2,0
3304939953,1,1,1,1,0,1,1
3296306866,2,1,2,2,0,2,2
3323496212,2,1,2,2,2,2,0
3304030176,1,1,1,1,2,2,0
3324925505,1,1,1,2,1,1,0
3225725905,1,1,1,1,1,2,1
3324239752,2,2,2,2,2,2,0
3326047211,1,1,1,1,1,1,2
3322398507,2,1,1,2,2,2,1
3323959835,1,2,2,0,1,2,0
3313277570,2,1,2,2,0,2,0
3238320164,2,1,1,2,2,2,0
3329961731,1,2,1,1,1,2,0
3326343190,1,1,1,1,0,1,0
3308713607,1,2,1,1,1,1,0
3288402128,1,1,1,1,0,1,0
3315759621,1,1,1,1,1,1,0
3317001937,2,1,1,2,2,1,1
3314035078,1,1,2,1,1,1,1
3315934285,2,2,2,0,0,2,0
3327839556,1,2,1,1,1,1,0
3301879852,2,2,1,1,1,2,1
3246799766,1,1,0,0,0,0,0
3233469276,1,2,1,0,0,0,0
3264123009,2,1,2,2,2,2,1
3221218999,2,2,2,2,0,2,2
3329172827,1,1,1,1,1,1,1
3331509281,2,2,1,0,0,2,0
3327364299,1,2,1,1,2,2,0
3329302998,2,2,1,2,2,2,0
3308358422,1,2,1,1,0,2,1
3322734650,1,2,1,1,0,1,0
3321518451,2,1,2,0,0,2,0
3327218687,2,1,1,2,2,2,0
3327581606,1,2,2,1,1,1,1
3331184032,1,1,1,1,1,1,1
3219978764,1,2,1,1,1,1,1
3267213499,2,2,2,0,0,2,0
3322707545,2,2,2,0,0,2,0
3302106475,2,1,2,2,0,1,0
3235294598,1,2,2,1,1,1,0
3329680020,2,1,2,2,1,1,2
3330475059,1,1,1,1,0,1,0
3323865742,1,2,1,1,1,1,0
3313178613,2,1,2,2,2,2,0
3321021689,2,1,1,0,2,1,0
3329116990,2,1,2,2,2,2,0
3319301422,2,2,2,0,0,0,0
3273969038,2,1,1,2,2,2,0
3327930981,1,2,1,1,0,1,0
3320765224,2,1,1,2,0,2,0
3321085501,1,2,2,1,2,2,0
3284885837,1,1,0,0,0,0,0
3319410490,2,2,2,2,0,2,0
3222173823,2,2,2,2,0,1,0
3329059618,1,2,2,1,1,1,2
3322300709,2,2,2,2,2,2,2
